Sl. No,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
5,Agra,Jagnair,Potato,Desi,FAQ,1200,1300,1250,10 Jan 2020
6,Agra,Jarar,Potato,Desi,FAQ,1200,1300,1250,10 Jan 2020
7,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,10 Jan 2020
1,Agra,Achnera,Potato,Desi,FAQ,1220,1320,1260,11 Jan 2020
2,Agra,Agra,Potato,Desi,FAQ,1200,1300,1250,11 Jan 2020
3,Agra,Fatehabad,Potato,Desi,FAQ,1180,1220,1200,11 Jan 2020
4,Agra,Fatehpur Sikri,Potato,Local,FAQ,0,0,1300,11 Jan 2020
5,Agra,Jagnair,Potato,Desi,FAQ,1200,1300,1250,11 Jan 2020
6,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,11 Jan 2020
7,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,11 Jan 2020
1,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,12 Jan 2020
2,Agra,Jarar,Potato,Desi,FAQ,1200,1300,1250,12 Jan 2020
3,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,12 Jan 2020
4,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,12 Jan 2020
1,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,13 Jan 2020
2,Agra,Agra,Potato,Desi,FAQ,1150,1300,1220,13 Jan 2020
3,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,13 Jan 2020
4,Agra,Fatehpur Sikri,Potato,Local,FAQ,1220,1400,1310,13 Jan 2020
5,Agra,Jagnair,Potato,Desi,FAQ,1150,1250,1200,13 Jan 2020
6,Agra,Jarar,Potato,Desi,FAQ,1200,1280,1240,13 Jan 2020
7,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,13 Jan 2020
8,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,13 Jan 2020
1,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,14 Jan 2020
2,Agra,Agra,Potato,Desi,FAQ,1150,1300,1220,14 Jan 2020
3,Agra,Fatehpur Sikri,Potato,Local,FAQ,0,0,1285,14 Jan 2020
4,Agra,Jagnair,Potato,Desi,FAQ,1180,1340,1260,14 Jan 2020
5,Agra,Jarar,Potato,Desi,FAQ,1200,1280,1240,14 Jan 2020
6,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,14 Jan 2020
1,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,15 Jan 2020
2,Agra,Agra,Potato,Desi,FAQ,1150,1350,1250,15 Jan 2020
3,Agra,Fatehabad,Potato,Desi,FAQ,1200,1280,1240,15 Jan 2020
4,Agra,Fatehpur Sikri,Potato,Local,FAQ,1200,1340,1260,15 Jan 2020
5,Agra,Jagnair,Potato,Desi,FAQ,1200,1260,1230,15 Jan 2020
6,Agra,Jarar,Potato,Desi,FAQ,1200,1280,1240,15 Jan 2020
7,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,15 Jan 2020
8,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,15 Jan 2020
1,Agra,Agra,Potato,Desi,FAQ,1150,1300,1220,16 Jan 2020
2,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,16 Jan 2020
3,Agra,Jagnair,Potato,Desi,FAQ,1200,1300,1250,16 Jan 2020
4,Agra,Jarar,Potato,Desi,FAQ,1200,1280,1240,16 Jan 2020
5,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,16 Jan 2020
6,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,16 Jan 2020
1,Agra,Achnera,Potato,Desi,FAQ,1200,1260,1230,17 Jan 2020
2,Agra,Agra,Potato,Desi,FAQ,1150,1300,1225,17 Jan 2020
3,Agra,Fatehabad,Potato,Desi,FAQ,1180,1220,1200,17 Jan 2020
4,Agra,Fatehpur Sikri,Potato,Local,FAQ,1200,1340,1250,17 Jan 2020
5,Agra,Jagnair,Potato,Desi,FAQ,1200,1240,1220,17 Jan 2020
6,Agra,Jarar,Potato,Desi,FAQ,1200,1280,1240,17 Jan 2020
7,Agra,Khairagarh,Potato,Desi,FAQ,950,1050,1000,17 Jan 2020
1,Agra,Achnera,Potato,Desi,FAQ,1200,1260,1230,18 Jan 2020
2,Agra,Agra,Potato,Desi,FAQ,1180,1350,1260,18 Jan 2020
3,Agra,Fatehabad,Potato,Desi,FAQ,1150,1250,1200,18 Jan 2020
4,Agra,Fatehpur Sikri,Potato,Local,FAQ,1180,1340,1265,18 Jan 2020
5,Agra,Jagnair,Potato,Desi,FAQ,1200,1260,1230,18 Jan 2020
6,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,18 Jan 2020
7,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,18 Jan 2020
1,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,19 Jan 2020
2,Agra,Fatehabad,Potato,Desi,FAQ,1000,1100,1050,19 Jan 2020
3,Agra,Jarar,Potato,Desi,FAQ,1000,1100,1050,19 Jan 2020
4,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,19 Jan 2020
1,Agra,Achnera,Potato,Desi,FAQ,1220,1300,1260,20 Jan 2020
2,Agra,Agra,Potato,Desi,FAQ,1200,1400,1300,20 Jan 2020
3,Agra,Fatehabad,Potato,Desi,FAQ,1180,1220,1200,20 Jan 2020
4,Agra,Fatehpur Sikri,Potato,Local,FAQ,1150,1350,1230,20 Jan 2020
5,Agra,Jarar,Potato,Desi,FAQ,1200,1300,1250,20 Jan 2020
6,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,20 Jan 2020
7,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,20 Jan 2020
1,Agra,Achnera,Potato,Desi,FAQ,1220,1300,1260,21 Jan 2020
2,Agra,Agra,Potato,Desi,FAQ,1200,1350,1280,21 Jan 2020
3,Agra,Fatehabad,Potato,Desi,FAQ,1000,1100,1050,21 Jan 2020
4,Agra,Fatehpur Sikri,Potato,Local,FAQ,0,0,1250,21 Jan 2020
5,Agra,Jagnair,Potato,Desi,FAQ,1150,1250,1200,21 Jan 2020
6,Agra,Jarar,Potato,Desi,FAQ,1200,1300,1250,21 Jan 2020
7,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,21 Jan 2020
8,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,21 Jan 2020
1,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1240,22 Jan 2020
